ts,open,high,low,close,volume
1769066400,89948.2,89968.0,89947.8,89947.8,10.013
1769066460,89947.8,89947.8,89903.2,89905.0,24.698
1769066520,89905.0,89930.8,89904.9,89928.9,9.309
1769066580,89928.9,89928.9,89910.0,89912.1,6.415
1769066640,89912.1,89922.3,89889.0,89903.0,21.66
1769066700,89903.0,89903.0,89872.4,89880.4,23.935
1769066760,89880.4,89904.0,89880.4,89904.0,6.757
1769066820,89904.0,89942.1,89901.2,89941.9,29.893
1769066880,89941.9,89952.8,89938.9,89952.8,12.095
1769066940,89952.8,89957.3,89925.3,89925.3,6.366
1769067000,89925.3,89925.3,89857.0,89893.9,56.644
1769067060,89893.9,89917.1,89893.9,89900.1,9.916
1769067120,89900.1,89902.6,89864.1,89902.6,18.549
1769067180,89902.6,89921.6,89902.5,89914.0,6.616
1769067240,89914.0,89929.0,89914.0,89919.1,6.513
1769067300,89919.1,89926.8,89913.8,89924.8,11.552
1769067360,89924.8,89934.1,89913.8,89915.2,9.855
1769067420,89915.2,89918.3,89902.0,89913.7,15.204
1769067480,89913.7,89913.7,89902.0,89902.0,3.26
1769067540,89902.0,89907.8,89899.2,89902.9,14.468
1769067600,89902.9,89903.0,89881.2,89891.2,6.164
1769067660,89891.2,89947.0,89891.1,89946.6,24.469
1769067720,89946.6,89947.1,89946.5,89946.9,8.084
1769067780,89946.9,89946.9,89905.2,89934.0,7.214
1769067840,89934.0,89950.0,89870.0,89903.4,99.785
1769067900,89903.4,89907.6,89879.0,89893.3,12.732
1769067960,89893.3,89913.8,89865.1,89865.1,14.12
1769068020,89865.1,89885.1,89861.7,89877.9,4.12
1769068080,89877.9,89885.5,89877.9,89885.4,6.694
1769068140,89885.4,89912.2,89885.4,89899.9,4.915
1769068200,89899.9,89912.3,89866.1,89877.6,9.337
1769068260,89877.6,89878.6,89855.0,89871.5,10.837
1769068320,89871.5,89873.8,89863.9,89864.0,2.153
1769068380,89864.0,89864.0,89812.0,89812.1,97.907
1769068440,89812.1,89829.6,89805.5,89805.5,49.65
1769068500,89805.5,89813.0,89751.5,89794.1,168.513
1769068560,89794.1,89794.1,89757.0,89759.7,33.47
1769068620,89759.7,89794.5,89748.0,89758.0,149.759
1769068680,89758.0,89769.0,89747.0,89762.7,36.077
1769068740,89762.7,89784.6,89762.7,89772.6,10.814
1769068800,89772.6,89800.0,89772.6,89799.1,29.746
1769068860,89799.1,89849.9,89778.3,89806.4,100.704
1769068920,89806.4,89888.9,89806.4,89877.1,19.068
1769068980,89877.1,89894.4,89865.0,89885.2,24.31
1769069040,89885.2,89885.2,89859.6,89868.1,6.858
1769069100,89868.1,89888.5,89868.1,89888.5,8.331
1769069160,89888.5,89888.5,89876.7,89888.3,9.064
1769069220,89888.3,89925.8,89888.3,89908.1,43.413
1769069280,89908.1,89908.1,89894.1,89897.0,11.272
1769069340,89897.0,89920.0,89880.5,89880.5,28.29
1769069400,89880.5,89892.1,89864.7,89888.8,15.584
1769069460,89888.8,89888.8,89771.8,89774.4,19.555
1769069520,89774.4,89806.8,89762.5,89762.6,10.188
1769069580,89762.6,89767.8,89739.1,89747.0,13.554
1769069640,89747.0,89779.9,89722.0,89732.5,47.686
1769069700,89732.5,89761.0,89732.5,89740.0,20.212
1769069760,89740.0,89792.5,89701.9,89784.1,30.236
1769069820,89784.1,89865.0,89784.0,89857.5,25.147
1769069880,89857.5,89895.0,89857.5,89880.6,19.595
1769069940,89880.6,89895.0,89856.0,89864.1,19.423
1769070000,89864.1,89864.1,89864.0,89864.0,5.837
1769070060,89864.0,89869.4,89803.0,89869.4,25.717
1769070120,89869.4,89869.4,89805.7,89813.5,12.36
1769070180,89813.5,89838.4,89813.5,89837.8,9.651
1769070240,89837.8,89850.5,89828.0,89828.0,2.889
1769070300,89828.0,89840.0,89822.5,89822.6,3.233
1769070360,89822.6,89824.7,89811.5,89822.9,7.498
1769070420,89822.9,89895.0,89822.8,89890.2,20.419
1769070480,89890.2,89891.1,89867.6,89871.3,3.906
1769070540,89871.3,89871.3,89819.6,89824.7,10.428
1769070600,89824.7,89824.7,89788.9,89802.8,15.219
1769070660,89802.8,89802.9,89755.3,89764.1,20.093
1769070720,89764.1,89764.1,89746.5,89746.5,8.106
1769070780,89746.5,89778.9,89746.5,89771.8,9.507
